,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
74,"['A', 'I']",10,256,32,64,spad,block,True,1,4,16,1,4.44028,14.5117,10.0714,0.114498,1.48913,1.60363,16.1153,1150134,830092,449081,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
75,"['A', 'I']",10,256,32,64,spad,block,True,1,4,16,8,4.47624,14.5595,10.0832,0.115421,1.48913,1.60456,16.164,1140938,831049,440266,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
76,"['A', 'I']",10,256,32,64,spad,block,True,1,4,32,1,4.55905,14.6305,10.0714,0.119571,1.48913,1.6087,16.2392,1101342,830092,407886,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
77,"['A', 'I']",10,256,32,64,spad,block,True,1,4,32,8,4.59762,14.6808,10.0832,0.120578,1.48913,1.60971,16.2905,1092146,831049,399071,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
78,"['A', 'I']",10,256,32,64,spad,block,True,1,16,8,1,4.12418,14.1956,10.0714,0.105369,1.48913,1.5945,15.7901,1249776,830092,532500,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
79,"['A', 'I']",10,256,32,64,spad,block,True,1,16,8,8,4.15491,14.2381,10.0832,0.106151,1.48913,1.59528,15.8334,1240580,831049,523685,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
80,"['A', 'I']",10,256,32,64,spad,block,True,1,16,16,1,4.44028,14.5117,10.0714,0.114498,1.48913,1.60363,16.1153,1150134,830092,449081,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
81,"['A', 'I']",10,256,32,64,spad,block,True,1,16,16,8,4.47624,14.5595,10.0832,0.115421,1.48913,1.60456,16.164,1140938,831049,440266,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
82,"['A', 'I']",10,256,32,64,spad,block,True,1,16,32,1,4.55905,14.6305,10.0714,0.119571,1.48913,1.6087,16.2392,1101342,830092,407886,96258.6,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,926351
83,"['A', 'I']",10,256,32,64,spad,block,True,1,16,32,8,4.59762,14.6808,10.0832,0.120578,1.48913,1.60971,16.2905,1092146,831049,399071,96258.6,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,927308
84,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,8,1,10.0328,23.9022,13.8693,0.246983,1.48913,1.73612,25.6383,533187,1.29437e+06,371622,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
85,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,8,8,10.2056,24.1315,13.9259,0.251227,1.48913,1.74036,25.8718,524181,1.30075e+06,362994,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
86,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,16,1,17.5695,31.4389,13.8693,0.432555,1.48913,1.92169,33.3605,304443,1.29437e+06,208910,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
87,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,16,8,18.1058,32.0317,13.9259,0.445741,1.48913,1.93487,33.9665,295437,1.30075e+06,200282,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
88,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,32,1,28.2018,42.0711,13.8693,0.692837,1.48913,2.18197,44.2531,190071,1.29437e+06,127554,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
89,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,4,32,8,29.6057,43.5315,13.9259,0.727298,1.48913,2.21643,45.748,181065,1.30075e+06,118926,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
90,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,8,1,10.0328,23.9022,13.8693,0.246983,1.48913,1.73612,25.6383,533187,1.29437e+06,371622,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
91,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,8,8,10.2056,24.1315,13.9259,0.251227,1.48913,1.74036,25.8718,524181,1.30075e+06,362994,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
92,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,16,1,17.5695,31.4389,13.8693,0.432555,1.48913,1.92169,33.3605,304443,1.29437e+06,208910,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
93,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,16,8,18.1058,32.0317,13.9259,0.445741,1.48913,1.93487,33.9665,295437,1.30075e+06,200282,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
94,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,32,1,28.2018,42.0711,13.8693,0.692837,1.48913,2.18197,44.2531,190071,1.29437e+06,127554,96258.6,4257,2,64,64,./outputs/mat_inv-gem5-accel,mat_inv,1.39063e+06
95,"['A', 'I']",10,256,32,64,spad,cyclic,True,1,16,32,8,29.6057,43.5315,13.9259,0.727298,1.48913,2.21643,45.748,181065,1.30075e+06,118926,96258.6,4262,2,64,65,./outputs/mat_inv-gem5-accel,mat_inv,1.39701e+06
